id,birthday,deathday,actor_id,name,place_of_birth,profile_path,overview,score
36,1996-09-01,,505710,Zendaya,"Oakland, California, USA",/jHWlWOasiqKS8JI40g9GDH5X6AL.jpg,,0
37,1976-07-19,,71580,Benedict Cumberbatch,"London, England, UK",/fBEucxECxGLKVHBznO0qHtCGiMO.jpg,,0
38,1996-06-06,,1649152,Jacob Batalon,"Honolulu, Hawaii, USA",/3sJJHI672zXZDQyQ6HycToHAfCR.jpg,,0
39,1966-10-19,,15277,Jon Favreau,"Queens, New York, USA",/8MtRRnEHaBSw8Ztdl8saXiw1egP.jpg,,0
40,1989-02-16,,550843,Elizabeth Olsen,"Sherman Oaks, California, USA",/mbMsmQE5CyMVTIGMGCw2XpcPCOc.jpg,,0
41,1977-07-10,,5294,Chiwetel Ejiofor,"Forest Gate, London, UK",/kq5DDnqqofoRI0t6ddtRlsJnNPT.jpg,,0
42,1971-06-03,,30082,Benedict Wong,"Eccles, Greater Manchester, England, U.K",/ukmfsl59Isvn9odgzMWBidA3cmt.jpg,,0
43,2006-04-29,,1912381,Xochitl Gomez,"Los Angeles, California, USA",/oo1wzI9zaRWvZOsae43raoPykgb.jpg,,0
44,1968-11-05,,6807,Sam Rockwell,"Daly City, California, USA",/4zjUldl3ykbgcLO7FxWppR6s7Ck.jpg,,0
45,1963-09-27,,1231717,Marc Maron,"Jersey City, New Jersey, U.S.",/2ENNRs7lgbyLfrUN622zRqkYJWL.jpg,,0
46,1988-06-02,,1625558,Awkwafina,"Stony Brook, Brookhaven, New York, USA",/l5AKkg3H1QhMuXmTTmq1EyjyiRb.jpg,,0
47,1971-10-25,,64342,Craig Robinson,"Chicago, Illinois, USA",/nWZI2ghokrha2lYnr5Z48agItL7.jpg,,0
48,1991-11-01,,1560244,Anthony Ramos,"New York City, New York, USA",/ityTHqIXFT3laID4j4ptlnc84zq.jpg,,0
49,1980-08-26,,62064,Chris Pine,"Los Angeles, California, USA",/vSe6sIsdtcoqBhuWRXynahFg8Vf.jpg,,0
50,1980-10-29,,11107,Ben Foster,"Boston, Massachusetts, USA",/4le1PMWTGp7y2IBmZEIOHfE3HAB.jpg,,0
51,1982-10-20,,94098,Gillian Jacobs,"Pittsburgh, Pennsylvania, USA",/sdhAxrVgmoVpglDsKn2B2yZmdj5.jpg,,0
52,1968-06-23,,1665,Eddie Marsan,"Stepney, East London, England",/9atfOgIxhfOKvv2be8HEp6SzOct.jpg,,0
53,1966-12-21,,2628,Kiefer Sutherland,"Paddington, London, England, UK",/g4HLUHuQ742roPxugGzxeVoKnel.jpg,,0
54,1978-01-20,,78423,Omar Sy,"Trappes, Yvelines, France",/o34IwFPlOvE00yJA2E4nvp5RQB7.jpg,,0
55,1973-08-22,,93532,Laurent Lafitte,"Paris, France",/lpF5sb1aEMEmxxfZT3u8PWGEipC.jpg,,0
56,1990-09-24,,1121169,Izïa Higelin,"Paris, France",/bHt0lK9qNQLXhwRSYfp8Yt6i0kb.jpg,,0
57,1977-07-26,,71038,Dimitri Storoge,,/oB0iZvyEQAVPFE2QG7R4bk78pOH.jpg,,0
58,1977-06-16,,1977894,Stéphane Pezerat,"Chenôve, France",/aJ3VKcVKzs1rEZsh4mWmFoCxSS.jpg,,0
59,1971-07-20,,25540,Sandra Oh,Ottawa - Ontario - Canada,/zU8vjebHxcP60ESEL5Ok68KWZvj.jpg,,0
60,2005-10-01,,3156344,Rosalie Chiang,"Fremont, California, USA",/cbEWkQM0FS9vzv07JFErCk0YKkx.jpg,,0
61,,,1373681,Ava Morse,,/e3bkf5MHPzqvSrJALr78pp0DCWt.jpg,,0
62,2001-12-28,,2602879,Maitreyi Ramakrishnan,"Mississauga, Ontario, Canada",/jBFqjwvngaz6ZXEhNd6dMeZ0W6c.jpg,,0
63,1966-08-14,,4587,Halle Berry,"Cleveland, Ohio, USA",/ylkN2DRmjIFwoJDzHL3Zw7CSvwF.jpg,,0
64,1973-07-03,,17178,Patrick Wilson,"Norfolk, Virginia, USA",/tc1ezEfIY8BhCy85svOUDtpBFPt.jpg,,0
65,1988-09-15,,1010135,John Bradley,"Manchester, England",/eLcisM9qqCLWnf0iImHuSn08FOi.jpg,,0
66,1999-05-24,,1440574,Charlie Plummer,"Poughkeepsie, New York, USA",/fzKdQaaUWv4VDF8b3DE0yTcGU8z.jpg,,0
67,1988-11-07,,2225985,Yu Wenwen,"Liaoning, Dalian, China",/p5mHHHr3Wa3iKBca6dwkdZWN7QF.jpg,,0
68,1980-12-19,,131,Jake Gyllenhaal,"Los Angeles, California, USA",/oA6fp6SQBQQWZEzn4NfY3E8mJhV.jpg,,0
69,1987-06-15,,1639847,Yahya Abdul-Mateen II,"New Orleans, Louisiana, USA",/aBDebGZs2pAucyaK4EhHVJGm0Xu.jpg,,0
70,1990-01-30,,1222992,Eiza González,"Mexico City, Mexico",/w2pZ8gLqZNguj8cqrDGbMw2Ibj0.jpg,,0
71,1964-11-24,,39520,Garret Dillahunt,"Castro Valley, California, USA",/9ISUezmwt2Hnm2do6Mg75EyAwgE.jpg,,0
72,1978-11-08,,39213,Keir O'Donnell,"Sydney, New South Wales, Australia",/4PnupUSZLvtT5DOfAuqHrGgdEuV.jpg,,0
73,1976-01-03,,131867,Daniel Hendler,"Montevideo, Uruguay",/8Q36TGfbnm4CjuKVWz1XGmTiZtk.jpg,,0
74,,,2300951,Paula Silva,,,,0
75,,,3326346,Franco Rilla,,,,0
76,,,1591940,Sofía González,,,,0
77,1981-08-24,,62747,Chad Michael Murray," Buffalo, New York, USA",/uX04loV7QcU17hbKzs8XPKQ45qY.jpg,,0
78,1955-03-19,,62,Bruce Willis,"Idar-Oberstein, Germany",/caX3KtMU42EP3VLRFFBwqIIrch5.jpg,,0
79,1978-12-09,,57171,Jesse Metcalfe,"Waterford, Connecticut, USA",/atp5FK0tBemYNYQfSPnI2egR7rX.jpg,,0
80,1991-03-12,,1278867,Kelly Greyson,"Texas, United States.",/dbygGZLqAqhPLQKVa24TACboAj9.jpg,,0
81,1987-03-10,,1160181,Ser'Darius Blain,U.S.,/4INvD4RYdjGCznboNgdyfWA6dpG.jpg,,0
82,1960-01-18,,40900,Mark Rylance,"Ashford, Kent, UK",/bztEZRyXrvW3Pg1fexNASXlZrq7.jpg,,0
83,1994-11-10,,1059597,Zoey Deutch,"Los Angeles, California, USA",/aG8lof9iCfmv135fKamRy6ffnUA.jpg,,0
84,1991-08-26,,527393,Dylan O'Brien,"New York City, New York, USA",/bO2siXPq477k47nBVdgPJqPZoCc.jpg,,0
85,1983-03-14,,137108,Johnny Flynn,"Johannesburg, Gauteng, South Africa",/xGCDMRFkUeEhz9h0cbK2lGuKTSD.jpg,,0
86,1976-02-27,,109319,Nikki Amuka-Bird,"Delta State, Nigeria",/bbZouEqBH8lhldqYmnBxR7XxhlA.jpg,,0
87,1978-11-17,,53714,Rachel McAdams,"London, Ontario, Canada",/fxeMrZswIPIWhipvdRrHOVuPlQY.jpg,,0
88,1965-11-22,,1019,Mads Mikkelsen,"Copenhagen, Denmark",/ntwPvV4GKGGHO3I7LcHMwhXfsw9.jpg,,0
89,1992-05-31,,2511949,Anna-Maria Sieklucka,"Lublin, Poland",/eoimM6DQ5ngqSAYaXHrIADHU52C.jpg,,0
90,1990-10-03,,2349355,Michele Morrone,"Melegnano, Italy",/90IF4aQKrr7zXmtcsNAYbrvcIg2.jpg,,0
91,,,3090060,Simone Susinna,"Lineri, Sicily",,,0
92,1988-01-06,,1637039,Magdalena Lamparska,"Słupsk, Polska",/u2zL7YDr4yPWXlO5whLMaoIJFLD.jpg,,0
93,1990-01-14,,1616974,Otar Saralidze,"Tbilisi, Georgia",/fqY7p0kotc9uuwB7UF3aYXXmY0R.jpg,,0
94,1981-02-10,,968367,Stephanie Beatriz,"Neuquén, Argentina",/ihKxmsmo8mpJjmRuchBo9W8gJq4.jpg,,0
95,1955-05-13,,2521631,María Cecilia Botero,"Medellín, Colombia",/nH6eBBgv1PI9J6Ftkn01ny1TMt1.jpg,,0
96,1964-07-22,,5723,John Leguizamo," Bogotá, Colombia",/kEbXDtcPJ46GEhj5QlCTLZS6PWE.jpg,,0
97,1978-06-06,,3150235,Mauro Castillo,"Cali, Colombia",/qGNGBRyy9LumdFw32M7elnHP4IJ.jpg,,0
98,,,2489411,Jessica Darrow,,/rJojc1ZUasEnUxSk7lL42RxyQbP.jpg,,0
99,1968-05-01,,85008,Sol Kyung-gu,"Seocheon, South Chungcheong, South Korea",/9SqQcvVUPUziK37i5jIeUoqSOMB.jpg,,0
100,1981-11-21,,1593672,Park Hae-soo,South Korea,/hfejrQ8gjRWCheiKpJANajXT0xi.jpg,,0
101,1976-11-24,,234641,Hiroyuki Ikeuchi,"Ibaraki Prefecture, Japan",/pccBBd2pmJ9kEGRxDkkvvjeIV5N.jpg,,0
102,1979-06-01,,1297749,Yang Dong-geun,,/rpP06EPyDZBHKbwBhTo1t3J9poN.jpg,,0
103,1982-08-26,,1257661,Lee El,"Seoul, South Korea",/cXG6IcCaqtn6BD5bDAFqVTbsUDD.jpg,,0
104,1962-06-16,,16743,Arnold Vosloo,"Pretoria, Gauteng, South Africa",/g7IuNOiDslCGInYEYClbyRrma5z.jpg,,0
105,1975-08-14,,15546,Tumisho Masha,,,,0
106,1988-07-17,,1412942,Thabo Rametsi,"Umlazi, South Africa",,,0
107,,,3133906,Noxolo Dlamini,,,,0
108,,,1956757,Stefan Erasmus,,,,0
109,1982-01-06,,37632,Eddie Redmayne,"London, England, UK",/fSvG7qzoBBnJUmgtIuMgrK3EQPN.jpg,,0
110,1972-12-29,,9642,Jude Law,"Lewisham, London, England, UK",/A6Y0m7qEe04ZTHKyYDLbnyCHNzn.jpg,,0
111,1992-09-30,,132157,Ezra Miller,"Wyckoff, New Jersey, USA",/6wmTpbYpmhthaxzM5ss3377F9IV.jpg,,0
112,1976-10-20,,58873,Dan Fogler,"Brooklyn, New York, USA",/zJWbLEjfbDthBMucq9M6L4GJXL3.jpg,,0
113,1972-11-06,,9030,Thandiwe Newton,"London, England, UK",/5BCyGUiUsXD6XzJgPPolqgWFFtj.jpg,,0
114,1947-06-01,,378,Jonathan Pryce,"Carmel, Flintshire, Wales, UK",/zwSv5uXzPTtmitFe39UdqnVwmdL.jpg,,0
115,1961-07-30,,2975,Laurence Fishburne,"Augusta, Georgia, USA",/8suOhUmPbfKqDQ17jQ1Gy0mI3P4.jpg,,0
116,1961-05-17,,17199,Corey Johnson,"New Orleans, Louisiana, USA",/gFPilsTUQlClMiXooO4Q3DSJ5Nr.jpg,,0
117,1956-03-05,,270,Adriana Barraza,"Toluca, Estado de Mexico, Mexico",/1aE7wu22bdgVTa0PMKXbAOSLiZn.jpg,,0
118,,,281122,Ramiro Meneses,,/eiBkOmeL4nVEl3VDzAolCqQ5EhQ.jpg,,0
119,,,620853,Hernán Méndez,,,,0
120,,,1659448,Álvaro Rodríguez,,/xu7RSOEnb2LGRksc8ymTZ6OId1q.jpg,,0
121,1992-07-22,,77948,Selena Gomez,"Grand Prairie, Texas, USA ",/5kUxfY2cKumyo7UZSz4zSqvDTOm.jpg,,0
122,1978-08-18,,62861,Andy Samberg,"Mill Valley, California, USA",/uDHHDEoySchljXtIMxjha0Odyfj.jpg,,0
123,1973-07-23,,17696,Kathryn Hahn,"Westchester, Illinois, USA",/9sVllAKfEls3SJD3GoPm2JEZoa5.jpg,,0
124,1966-07-07,,84407,Jim Gaffigan,"Chesterton, Indiana, USA",/dhguhHxIrb26jvPznBt8y25Fb2U.jpg,,0
125,1957-12-13,,884,Steve Buscemi,"New York City, New York, USA",/lQKdHMxfYcCBOvwRKBAxPZVNtkg.jpg,,0
126,1976-10-23,,10859,Ryan Reynolds,"Vancouver, British Columbia, Canada",/4SYTH5FdB0dAORV98Nwg3llgVnY.jpg,,0
127,2009-01-06,,2867506,Walker Scobell,"Los Angeles, California, USA",/8hLsKlvCZxhSPgxOyLgg2Z0n5uK.jpg,,0
128,1967-11-22,,103,Mark Ruffalo,"Kenosha, Wisconsin, USA",/z3dvKqMNDQWk3QLxzumloQVR0pv.jpg,,0
129,1972-04-17,,9278,Jennifer Garner,"Houston, Texas, USA",/ftymEXqdTnXfaI6dGd9qrJoFOSE.jpg,,0
130,1978-06-19,,8691,Zoe Saldana,"Passaic, New Jersey, USA",/aGb3JzoumA89gRFwbJYAxFm5Qdk.jpg,,0
131,1994-03-30,,2846747,Almudena Amor,"Madrid, Spain",/mmwdXj20aW4I0f413j1F0TeSGPC.jpg,,0
132,,,1910478,Vera Valdez,Brasil,/shJTF8plSrjHCA1HE1Be0VJVWYs.jpg,,0
133,,,1914003,Karina Kolokolchykova,Ukraine,/5hXuSKMXW5AU50UqDcWOTbS8HhF.jpg,,0
134,,,3461067,Marina Gutiérrez,,,,0
135,,,3461069,Gabriela Calonfirescu,,/dTu4rpJjWZWtUD4ZiqbWY6LlaGa.jpg,,0
136,1970-02-14,,11108,Simon Pegg,"Brockworth, Gloucestershire, England, UK",/nOWKXxgADG98RjKyfQ7oSDfns6J.jpg,,0
137,1980-05-02,,1240645,Vincent Tong,"Vancouver, Canada",/tGeGEkuN3MVfLoWv0c5UxJklPGV.jpg,,0
138,,,3332754,Aaron Harris,,/2JnoL2qJnoiIzAUMoRE2UgdbBiN.jpg,,0
139,1983-12-08,,929511,Utkarsh Ambudkar,"Baltimore, Maryland, USA",/YNxbyikuqQRWoa9YMXUZobfePZ.jpg,,0
140,1972-09-06,,95517,Justina Machado,"Chicago, Illinois, USA ",/j5FaJXoyhMHlqv1l6TBdt1CH1oO.jpg,,0
141,,,2673964,Arie Thompson,,/93M74Mr9VaiAzhp40KcFd1ReFT4.jpg,,0
142,1963-02-21,,13021,William Baldwin,"Massapequa, New York, U.S",/eGCByefnhrz6lU5IIb3OOEwjb7k.jpg,,0
143,1970-10-15,,53252,Noel Gugliemi,"Santa Monica, California, USA",/ndm0GtwFegozqIDb5qd376OJU3J.jpg,,0
144,,,3498932,Rashod Freelove,,,,0
145,,,3214674,Kennedy Porter,,,,0
146,1989-09-07,,1325962,Daiki Yamashita,"Shizuoka Prefecture, Japan",/25ovdMOJ3HNhA8CsY3xGnvu26pe.jpg,,0
147,1986-10-24,,1245094,Nobuhiko Okamoto,"Tokyo, Japan",/qyZpSYva9O9JQIZ0nVmXTf90FlL.jpg,,0
148,1985-09-03,,149894,Yuki Kaji,"Tokyo, Japan",/8wKdPV11IwowfwoqGqMMNt9hmp6.jpg,,0
149,1994-02-01,,1149341,Ryo Yoshizawa,"Tokyo, Tokyo Prefecture, Japan",/4W0w330JSdlTdWjP8fSxvrFJdU2.jpg,,0
150,1967-11-25,,84507,Kazuya Nakai,"Hyōgo Prefecture, Japan",/78PKViY7brjF3AJI8h3tXyUyYT7.jpg,,0
151,1977-09-15,,2524,Tom Hardy,"Hammersmith, London, England, UK",/sGMA6pA2D6X0gun49igJT3piHs3.jpg,,0
152,1961-07-23,,57755,Woody Harrelson,"Midland, Texas, USA",/igxYDQBbTEdAqaJxaW6ffqswmUU.jpg,,0
153,1980-09-09,,1812,Michelle Williams,"Kalispell, Montana, USA",/tGRbxGPNIH1NuL2FhwEV0JJzuNf.jpg,,0
154,1976-09-06,,2038,Naomie Harris,"Islington, London, England, UK",/pDFs4gSeKSyIF8PditvtHqAq687.jpg,,0
155,1977-11-19,,81316,Reid Scott,"Albany, New York, USA",/kBAeDUDA7XJRXFLGNALlpE5d3lA.jpg,,0
156,1977-11-16,,175615,Mauricio Ochmann,"Celaya, Guanajuato, Mexico",/2HM0oHAqSvrOpkp27iPhetyPYUT.jpg,,0
157,1998-10-12,,2638304,Fiona Palomo,,/oQ9hiKvvr4gG3bnTFyzHP9jO5o6.jpg,,0
158,1984-12-11,,145184,Sandra Echeverría,"Mexico City, México",/2BrDCExAKY7ikVy7Budm4f7f3Pz.jpg,,0
159,1980-05-01,,7351,Ana Claudia Talancón,"Cancun, Quintana Roo, Mexico",/es8No01z8G0MFX2KeiAa2ouRfCD.jpg,,0
160,1938-10-21,2020-06-02,589801,Héctor Suárez,"Mexico City, Mexico",/eKn2KhEiixyxJfc6Fv7n1MEaP3z.jpg,,0
161,1952-06-07,,3896,Liam Neeson,"Ballymena, County Antrim, Northern Ireland, UK",/bboldwqSC6tdw2iL6631c98l2Mn.jpg,,0
162,1988-09-05,,2026050,Emmy Raver-Lampman,"Norfolk, Virginia, USA",/cBkHUBzqoqrnkxDXWlqQmm91pD2.jpg,,0
163,1995-05-13,,1369329,Taylor John Smith,"Los Angeles, California, USA",/6dXZRf8ePa1oxQN9a5hFGEjDoI0.jpg,,0
164,1959-03-08,,18992,Aidan Quinn,"Chicago, Illinois, USA",/oNanwnXr6OApFUa4vaswd6RYVYB.jpg,,0
165,1981-10-08,,123724,Tim Draxl,,/4WeKn0jlTHwmMnlhjd2EsqE4uFp.jpg,,0
166,1991-06-26,,1256603,Natsuki Hanae,"Kanagawa Prefecture, Japan",/A1lGrpBEdAUxZA7RoAw4Zr4ved3.jpg,,0
167,1994-10-16,,1563442,Akari Kito,"Aichi Prefecture, Japan",/43SgANYtj7vpsHmz68hgPDlxC15.jpg,,0
168,1980-04-21,,119145,Hiro Shimono,"Tokyo, Japan",/i5CaaqKmHH0vKCloqZyrCwn5mWy.jpg,,0
169,1986-09-17,,233590,Yoshitsugu Matsuoka,"Obihiro, Hokkaido Prefecture, Japan",/ugDwdWEXnmv43jcbnfAi4XwiQ8C.jpg,,0
170,1978-08-04,,224413,Satoshi Hino,"San Francisco, California, USA",/8ZJIiwIVF2zDyyFr7oXewj0eEuu.jpg,,0
171,1969-11-04,,10297,Matthew McConaughey,"Uvalde, Texas, USA",/wJiGedOCZhwMx9DezY8uwbNxmAY.jpg,,0
172,1976-03-22,,368,Reese Witherspoon,"New Orleans, Louisiana, USA",/odkbrsn8I9m0zIVSntrDTl3hjUh.jpg,,0
173,1984-11-22,,1245,Scarlett Johansson,"New York City, New York, USA",/6NsMbJXRlDZuDzatN2akFdGuTvx.jpg,,0
174,1989-11-10,,1303037,Taron Egerton,"Birkenhead, Merseyside, England, UK",/hHEgQFENXD43ZFwLNWsRpPWPzrs.jpg,,0
175,1970-05-03,,21127,Bobby Cannavale,"Union City, New Jersey, USA",/gYQwTbEj5IBPYKLGKgrsNGrWAMl.jpg,,0
176,1982-11-29,,97576,Gemma Chan,"London, England, UK",/stTKj4iNauhqlVmZ6XAsFsvcMCY.jpg,,0
177,1986-06-18,,512991,Richard Madden,"Elderslie, Renfrewshire, Scotland, UK",/zP1QxxjhtnnjMutuYKtlOnvYD7P.jpg,,0
178,1975-06-04,,11701,Angelina Jolie,"Los Angeles, California, USA ",/k3W1XXddDOH2zibPkNotIh5amHo.jpg,,0
179,1978-02-21,,466505,Kumail Nanjiani,"Karachi, Pakistan",/9EyrK1Cv7ey1h1GgmsVAOn45w6G.jpg,,0
180,1992-10-17,,1290466,Barry Keoghan,"Dublin, Ireland",/oAYEPVdgt2fAL8W3YQalVazNdqA.jpg,,0
181,1989-04-19,,1489211,Simu Liu,"Harbin, Heilongjiang, China",/zrJjYjOYzDj7eY9oiHAoz8Yh0yk.jpg,,0
182,1962-06-27,,1337,Tony Leung Chiu-wai,"Hong Kong, British Crown Colony [now China]",/pMZJ7c7ururMg5TBjXWWIuT3WFI.jpg,,0
183,1987-04-22,,2979464,Meng'er Zhang,"Nanjing, Jiangsu, China",/yMiYThzzkeVSsUI2sxh3iIWmMTy.jpg,,0
184,1982-02-24,,123701,Fala Chen,"Chengdu, China",/1eoEj3umXbxUkTXb5c7bmC3EUTh.jpg,,0
185,,,1502550,Pierre Tessier,,/33Q1dBoqtTiRLy8YFM418iPerQJ.jpg,,0
186,,,3192287,Enrique Carballido,,,,0
187,,,1643163,Kaycie Chase,,/d3ru7HdVJFFyjxLcwavockxRv6d.jpg,,0
188,,,1446164,Paul Borne,,/vjhn44K5M5A3eSdqslscrNCtBSY.jpg,,0
189,,,146059,Julien Crampon,,/x381pxBMUzxSeyOzjgdlhtr10Th.jpg,,0
190,1986-06-19,,1733286,Matt McClure,"Glasgow, UK",/4LI5fjzqt3bG6l1cwEnxNvs5ZTV.jpg,,0
191,,,2992685,Mollie Hindle,,/ygNh5tJgtLz8nLm5gxZVxflqUPn.jpg,,0
192,,,2215526,James Swanton,,/n7FXBEY2B56wiCR9IgqGOSNZjn1.jpg,,0
193,,,216988,Nicola Wright,,/5FsJ2Oq0l6E8aB6n7PYl4zUyVT5.jpg,,0
194,,,1759040,Nicholas Anscombe,,/heKvBj7qvdOADnMD0azgmSwuqZJ.jpg,,0
195,1993-11-16,,1427948,Pete Davidson,"Staten Island, New York, USA",/958L8THToFLXPOELFMLPvZPw6KQ.jpg,,0
196,1955-01-09,,18999,J.K. Simmons,"Detroit, Michigan, USA",/7kIiPojgSVNRXb5z0hiijcD5LJ6.jpg,,0
197,,,1217658,Julie Nathanson,,/nRTSrVAA5txbzITfx1h9ZIutcP4.jpg,,0
198,1962-08-24,,28638,David Koechner,"Tipton, Missouri, USA",/fpTTe1ow3EdfRJ8PZgBJmpeghMS.jpg,,0
199,,,2551381,Jason Anthony,,,,0
200,,,2815598,Thom Hallum,,/lTD1NWH6NjSqSnaCX2BxvJKZ4RE.jpg,,0
201,,,968889,Billy Blair,"El Paso, Texas, USA",/xEa5EA6K8b5jqfb0G4iW8UJGH2p.jpg,,0
202,,,3426551,Lindsey Marie Wilson,,/zsVlbnuZbL9L4lE3SFbqJJyN4dZ.jpg,,0
203,,,1622024,Derrick Redford,"Little Rock, Arkansas, USA",/odvMeuqJ4DtxwNQfqWs9YWd7DeI.jpg,,0
204,,,1530656,Colleen Elizabeth Miller,,/h1vWxlIE5sYaiHvpP99s5rv7Mq.jpg,,0
205,1997-01-01,,2378813,Havana Rose Liu,"Brooklyn, New York, US",/4jkZWVxN5jcIuaSvWtUegxiwRaZ.jpg,,0
206,1992-09-17,,1773397,Danny Ramirez,"Chicago, IL",/zI3w5lx9b61tRtQdyyn4DWJ3RRj.jpg,,0
207,1954-06-02,,352,Dennis Haysbert,"San Mateo, California, USA",/lcnjaw2CFN6q9eaes1jTYrUB0rb.jpg,,0
208,,,1541178,David Rysdahl,,/yYTsO3nH4ikZJ3K2XTgQASEOWiU.jpg,,0
209,1961-09-29,,46814,Dale Dickey,"Knoxville, Tennessee, USA",/jjGeQ4hJTXftegRHmrxK2IZnf9A.jpg,,0
210,1979-12-28,,87722,Noomi Rapace,"Hudiksvall, Gävleborgs län, Sweden ",/vdlUULsiwxEgxTwxn3vVQqmolcx.jpg,,0
211,1986-01-12,,76555,Jakob Oftebro,"Oslo, Norway",/qwCdGExEyucOFLFTkYSrhpGfJ0N.jpg,,0
